Species,Tissue Class,Tissue Type,Cancer,Cell Type,Cell Marker,Source,Supported Sources,Details
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Adamts5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Adamts5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Adamtsl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Adamtsl5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Adap1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Adap2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Adap2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Adarb2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Adcy2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory sensory neuron,Adcy3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Add2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Add3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Adgra1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Adgrb1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Adgrb3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Adm,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Adprh,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Adprhl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Adra1d,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Adssl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aes,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,AF251705,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,AF357359,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Afap1l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Afap1l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Afap1l2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Aff3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Agap2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Agl,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Agpat3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Agpat4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Agpat9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Agt,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Agtpbp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Agtrap,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ahcyl2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Ahi1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,AI314180,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,AI413582,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,AI464131,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,AI593442,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,AI854517,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,AI854703,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,AI987944,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Aif1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aifm3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Airn,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ak1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Ak7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Ak9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Akap13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Alcam,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aldh1a3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Aldh1l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Aldh5a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Aldoart2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Quiescent neural stem cell,Aldoc,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aldoc,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Alkbh1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Alkbh2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Alpk2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Amer2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Amigo3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Amph,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Angel1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Angpt1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ank1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ank3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ankdd1b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Ankrd16,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ankrd33b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ankrd34a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ankrd34b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ankrd55,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ankrd9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Anks1b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Ano1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory sensory neuron,Ano2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Ano2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Martinotti cell,Ano3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ano4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Antxr1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Antxr2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Anxa5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Aoah,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ap5s1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Apaf1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Apba2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Apbb1ip,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Apbb2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Apc,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Apcdd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Apcdd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Apex2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aph1a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Apobec1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Apod,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Apoe,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neural stem cell,Apoe,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Apoo,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aptx,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Aqp4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Aqp4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Arap2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Arc,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Arf3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Arfgef1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Arhgap15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Arhgap19,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Arhgap20,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Arhgap22,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Arhgap27,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Arhgap27os3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Arhgap29,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Arhgap31,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Arhgap31,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Arhgap36,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Arhgap39,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Arhgap42,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Arhgdig,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Arhgdig,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Arhgef15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Arhgef17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Arhgef26,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Arhgef28,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Arhgef3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Arhgef4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Arhgef6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Arhgef9,Single-cell sequencing,1,DETAIL
